deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:19:11.352106357 +0000 UTC m=+988.873626584, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=39642, telnet.sessionid=ckm11vtbsae000atm7j0, token=ckm0q8lbsae000atm5rg, type=connect
deception-honeypot-1  | services > ssh > category=ssh, date=2023-10-15 16:19:22.896025929 +0000 UTC m=+1000.417546088, destination-ip=172.18.0.2, destination-port=8022, sensor=services, source-ip=172.18.0.1, source-port=45172, ssh.password=root, ssh.sessionid=ckm122lbsae000atm7k0, ssh.username=root, token=ckm0q8lbsae000atm5rg, type=password-authentication
deception-honeypot-1  | services > ssh > category=ssh, date=2023-10-15 16:19:22.896484547 +0000 UTC m=+1000.418004738, destination-ip=172.18.0.2, destination-port=8022, sensor=services, source-ip=172.18.0.1, source-port=45172, ssh.exec=[]string{"ss -tunlp"}, ssh.payload=[]byte{0x0, 0x0, 0x0, 0x9, 0x73, 0x73, 0x20, 0x2d, 0x74, 0x75, 0x6e, 0x6c, 0x70}, ssh.request-type=exec, ssh.sessionid=ckm122lbsae000atm7k0, token=ckm0q8lbsae000atm5rg, type=ssh-request
deception-honeypot-1  | services > ssh > category=ssh, date=2023-10-15 16:19:27.899919744 +0000 UTC m=+1005.421439956, destination-ip=172.18.0.2, destination-port=8022, sensor=services, source-ip=172.18.0.1, source-port=45172, ssh.exec=[]string{"cat /etc/shadow"}, ssh.payload=[]byte{0x0, 0x0, 0x0, 0xf, 0x63, 0x61, 0x74, 0x20, 0x2f, 0x65, 0x74, 0x63, 0x2f, 0x73, 0x68, 0x61, 0x64, 0x6f, 0x77}, ssh.request-type=exec, ssh.sessionid=ckm122lbsae000atm7k0, token=ckm0q8lbsae000atm5rg, type=ssh-request
deception-honeypot-1  | services > ssh > category=ssh, date=2023-10-15 16:19:32.903604643 +0000 UTC m=+1010.425124894, destination-ip=172.18.0.2, destination-port=8022, sensor=services, source-ip=172.18.0.1, source-port=45172, ssh.exec=[]string{"pwd"}, ssh.payload=[]byte{0x0, 0x0, 0x0, 0x3, 0x70, 0x77, 0x64}, ssh.request-type=exec, ssh.sessionid=ckm122lbsae000atm7k0, token=ckm0q8lbsae000atm5rg, type=ssh-request
deception-honeypot-1  | services > ssh > category=ssh, date=2023-10-15 16:19:37.907029531 +0000 UTC m=+1015.428549762, destination-ip=172.18.0.2, destination-port=8022, sensor=services, source-ip=172.18.0.1, source-port=45172, ssh.exec=[]string{"ls"}, ssh.payload=[]byte{0x0, 0x0, 0x0, 0x2, 0x6c, 0x73}, ssh.request-type=exec, ssh.sessionid=ckm122lbsae000atm7k0, token=ckm0q8lbsae000atm5rg, type=ssh-request
deception-honeypot-1  | services > ssh > category=ssh, date=2023-10-15 16:19:42.910639583 +0000 UTC m=+1020.432159817, destination-ip=172.18.0.2, destination-port=8022, sensor=services, source-ip=172.18.0.1, source-port=45172, ssh.exec=[]string{"ip a"}, ssh.payload=[]byte{0x0, 0x0, 0x0, 0x4, 0x69, 0x70, 0x20, 0x61}, ssh.request-type=exec, ssh.sessionid=ckm122lbsae000atm7k0, token=ckm0q8lbsae000atm5rg, type=ssh-request
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:19:57.913693045 +0000 UTC m=+1035.435213247, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.sessionid=ckm12bdbsae000atm7kg, token=ckm0q8lbsae000atm5rg, type=connect
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:19:57.914146959 +0000 UTC m=+1035.435667138, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.password=root, telnet.sessionid=ckm12bdbsae000atm7kg, telnet.username=root, token=ckm0q8lbsae000atm5rg, type=password-authentication
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:19:57.914196478 +0000 UTC m=+1035.435716654, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.command=display snmp-server arp-sync table, telnet.sessionid=ckm12bdbsae000atm7kg, token=ckm0q8lbsae000atm5rg, type=session
deception-honeypot-1  | services > telnet > category=telnet, date=2023-10-15 16:20:02.913570334 +0000 UTC m=+1040.435090481, destination-ip=172.18.0.2, destination-port=8023, sensor=services, source-ip=172.18.0.1, source-port=47334, telnet.command=system-view, telnet.sessionid=ckm12bdbsae000atm7kg, token=ckm0q8lbsae000atm5rg, type=session
